"RM Item Desc","Date","Amount (in Rs. Crore)","Prompts_Time1","Sequence"
"RM2.1.2.2) RBI's claims on Commercial sector (Excluding NABARD) ","2002/10/18 00:00:00","3106","2002 -10-18","1162"
"RM2.1.2.2) RBI's claims on Commercial sector (Excluding NABARD) ","2002/10/25 00:00:00","2911","2002 -10-25","1162"
"RM2.1.2.2) RBI's claims on Commercial sector (Excluding NABARD) ","2002/11/01 00:00:00","2942","2002 -11-01","1162"
"RM2.1.2.2) RBI's claims on Commercial sector (Excluding NABARD) ","2002/11/08 00:00:00","2943","2002 -11-08","1162"
"RM2.1.2.2) RBI's claims on Commercial sector (Excluding NABARD) ","2002/11/15 00:00:00","2964","2002 -11-15","1162"
"RM2.1.2.2) RBI's claims on Commercial sector (Excluding NABARD) ","2002/11/22 00:00:00","2969","2002 -11-22","1162"
"RM2.1.2.2) RBI's claims on Commercial sector (Excluding NABARD) ","2002/11/29 00:00:00","3104","2002 -11-29","1162"
"RM2.2) Net foreign exchange assets of RBI ","2002/01/04 00:00:00","233211","2002 -01-04","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/01/11 00:00:00","236751","2002 -01-11","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/01/18 00:00:00","237634","2002 -01-18","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/01/25 00:00:00","238092","2002 -01-25","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/02/01 00:00:00","240510","2002 -02-01","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/02/08 00:00:00","242142","2002 -02-08","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/02/15 00:00:00","244458","2002 -02-15","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/02/22 00:00:00","245612","2002 -02-22","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/03/01 00:00:00","247330","2002 -03-01","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/03/08 00:00:00","250706","2002 -03-08","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/03/15 00:00:00","254176","2002 -03-15","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/03/22 00:00:00","259973","2002 -03-22","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/03/29 00:00:00","264208","2002 -03-29","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/04/05 00:00:00","266420","2002 -04-05","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/04/12 00:00:00","267992","2002 -04-12","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/04/19 00:00:00","269146","2002 -04-19","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/04/26 00:00:00","270858","2002 -04-26","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/05/03 00:00:00","272347","2002 -05-03","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/05/10 00:00:00","272799","2002 -05-10","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/05/17 00:00:00","272290","2002 -05-17","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/05/24 00:00:00","273476","2002 -05-24","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/05/31 00:00:00","275234","2002 -05-31","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/06/07 00:00:00","276026","2002 -06-07","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/06/14 00:00:00","277079","2002 -06-14","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/06/21 00:00:00","279143","2002 -06-21","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/06/28 00:00:00","283248","2002 -06-28","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/07/05 00:00:00","283136","2002 -07-05","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/07/12 00:00:00","286681","2002 -07-12","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/07/19 00:00:00","290495","2002 -07-19","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/07/26 00:00:00","291371","2002 -07-26","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/08/02 00:00:00","292554","2002 -08-02","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/08/09 00:00:00","292093","2002 -08-09","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/08/16 00:00:00","294555","2002 -08-16","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/08/23 00:00:00","296132","2002 -08-23","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/08/30 00:00:00","298402","2002 -08-30","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/09/06 00:00:00","301133","2002 -09-06","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/09/13 00:00:00","300446","2002 -09-13","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/09/20 00:00:00","302867","2002 -09-20","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/09/27 00:00:00","303419","2002 -09-27","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/10/04 00:00:00","305860","2002 -10-04","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/10/11 00:00:00","308931","2002 -10-11","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/10/18 00:00:00","310029","2002 -10-18","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/10/25 00:00:00","309754","2002 -10-25","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/11/01 00:00:00","312335","2002 -11-01","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/11/08 00:00:00","315551","2002 -11-08","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/11/15 00:00:00","318416","2002 -11-15","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/11/22 00:00:00","320971","2002 -11-22","1163"
"RM2.2) Net foreign exchange assets of RBI ","2002/11/29 00:00:00","323042","2002 -11-29","1163"
"RM2.3) Govt't currency liabilities to the public ","2002/01/04 00:00:00","6077","2002 -01-04","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/01/11 00:00:00","6077","2002 -01-11","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/01/18 00:00:00","6077","2002 -01-18","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/01/25 00:00:00","6155","2002 -01-25","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/02/01 00:00:00","6155","2002 -02-01","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/02/08 00:00:00","6155","2002 -02-08","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/02/15 00:00:00","6155","2002 -02-15","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/02/22 00:00:00","6238","2002 -02-22","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/03/01 00:00:00","6238","2002 -03-01","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/03/08 00:00:00","6238","2002 -03-08","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/03/15 00:00:00","6238","2002 -03-15","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/03/22 00:00:00","6366","2002 -03-22","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/03/29 00:00:00","6366","2002 -03-29","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/04/05 00:00:00","6366","2002 -04-05","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/04/12 00:00:00","6366","2002 -04-12","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/04/19 00:00:00","6383","2002 -04-19","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/04/26 00:00:00","6383","2002 -04-26","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/05/03 00:00:00","6383","2002 -05-03","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/05/10 00:00:00","6383","2002 -05-10","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/05/17 00:00:00","6383","2002 -05-17","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/05/24 00:00:00","6383","2002 -05-24","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/05/31 00:00:00","6459","2002 -05-31","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/06/07 00:00:00","6459","2002 -06-07","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/06/14 00:00:00","6459","2002 -06-14","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/06/21 00:00:00","6459","2002 -06-21","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/06/28 00:00:00","6534","2002 -06-28","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/07/05 00:00:00","6534","2002 -07-05","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/07/12 00:00:00","6534","2002 -07-12","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/07/19 00:00:00","6534","2002 -07-19","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/07/26 00:00:00","6666","2002 -07-26","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/08/02 00:00:00","6666","2002 -08-02","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/08/09 00:00:00","6666","2002 -08-09","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/08/16 00:00:00","6666","2002 -08-16","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/08/23 00:00:00","6728","2002 -08-23","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/08/30 00:00:00","6728","2002 -08-30","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/09/06 00:00:00","6728","2002 -09-06","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/09/13 00:00:00","6728","2002 -09-13","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/09/20 00:00:00","6790","2002 -09-20","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/09/27 00:00:00","6790","2002 -09-27","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/10/04 00:00:00","6790","2002 -10-04","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/10/11 00:00:00","6790","2002 -10-11","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/10/18 00:00:00","6851","2002 -10-18","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/10/25 00:00:00","6851","2002 -10-25","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/11/01 00:00:00","6661","2002 -11-01","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/11/08 00:00:00","6851","2002 -11-08","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/11/15 00:00:00","6851","2002 -11-15","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/11/22 00:00:00","6851","2002 -11-22","1164"
"RM2.3) Govt't currency liabilities to the public ","2002/11/29 00:00:00","6907","2002 -11-29","1164"
"RM2.4) Net non-monetary liabilities of RBI ","2002/01/04 00:00:00","99531","2002 -01-04","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/01/11 00:00:00","100239","2002 -01-11","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/01/18 00:00:00","99419","2002 -01-18","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/01/25 00:00:00","98420","2002 -01-25","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/02/01 00:00:00","99334","2002 -02-01","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/02/08 00:00:00","101261","2002 -02-08","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/02/15 00:00:00","102001","2002 -02-15","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/02/22 00:00:00","102561","2002 -02-22","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/03/01 00:00:00","102643","2002 -03-01","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/03/08 00:00:00","103559","2002 -03-08","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/03/15 00:00:00","104236","2002 -03-15","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/03/22 00:00:00","103876","2002 -03-22","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/03/29 00:00:00","103821","2002 -03-29","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/04/05 00:00:00","105219","2002 -04-05","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/04/12 00:00:00","107194","2002 -04-12","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/04/19 00:00:00","108376","2002 -04-19","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/04/26 00:00:00","110113","2002 -04-26","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/05/03 00:00:00","111835","2002 -05-03","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/05/10 00:00:00","111407","2002 -05-10","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/05/17 00:00:00","112366","2002 -05-17","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/05/24 00:00:00","112377","2002 -05-24","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/05/31 00:00:00","113288","2002 -05-31","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/06/07 00:00:00","114473","2002 -06-07","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/06/14 00:00:00","115263","2002 -06-14","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/06/21 00:00:00","116919","2002 -06-21","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/06/28 00:00:00","118768","2002 -06-28","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/07/05 00:00:00","120001","2002 -07-05","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/07/12 00:00:00","121563","2002 -07-12","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/07/19 00:00:00","122379","2002 -07-19","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/07/26 00:00:00","121329","2002 -07-26","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/08/02 00:00:00","120211","2002 -08-02","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/08/09 00:00:00","119693","2002 -08-09","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/08/16 00:00:00","110592","2002 -08-16","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/08/23 00:00:00","109274","2002 -08-23","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/08/30 00:00:00","110046","2002 -08-30","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/09/06 00:00:00","111527","2002 -09-06","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/09/13 00:00:00","110111","2002 -09-13","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/09/20 00:00:00","111289","2002 -09-20","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/09/27 00:00:00","111249","2002 -09-27","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/10/04 00:00:00","111524","2002 -10-04","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/10/11 00:00:00","112203","2002 -10-11","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/10/18 00:00:00","111435","2002 -10-18","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/10/25 00:00:00","112347","2002 -10-25","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/11/01 00:00:00","114702","2002 -11-01","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/11/08 00:00:00","115529","2002 -11-08","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/11/15 00:00:00","115087","2002 -11-15","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/11/22 00:00:00","115075","2002 -11-22","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2002/11/29 00:00:00","114779","2002 -11-29","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/07/06 00:00:00","88780","2001 -07-06","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/07/13 00:00:00","90539","2001 -07-13","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/07/20 00:00:00","91571","2001 -07-20","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/07/27 00:00:00","92173","2001 -07-27","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/08/03 00:00:00","91776","2001 -08-03","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/08/10 00:00:00","92931","2001 -08-10","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/08/17 00:00:00","85558","2001 -08-17","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/08/24 00:00:00","85255","2001 -08-24","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/08/31 00:00:00","86641","2001 -08-31","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/09/07 00:00:00","87321","2001 -09-07","1165"
"RM1.1) Currency in circulation -Total ","2001/09/14 00:00:00","228709","2001 -09-14","1150"
"RM1.1) Currency in circulation -Total ","2001/09/21 00:00:00","226789","2001 -09-21","1150"
"RM1.1) Currency in circulation -Total ","2001/09/28 00:00:00","224562","2001 -09-28","1150"
"RM1.1) Currency in circulation -Total ","2001/10/05 00:00:00","228308","2001 -10-05","1150"
"RM1.1) Currency in circulation -Total ","2001/10/12 00:00:00","230770","2001 -10-12","1150"
"RM1.1) Currency in circulation -Total ","2001/10/19 00:00:00","231864","2001 -10-19","1150"
"RM1.1) Currency in circulation -Total ","2001/10/26 00:00:00","232911","2001 -10-26","1150"
"RM1.1) Currency in circulation -Total ","2001/11/02 00:00:00","234143","2001 -11-02","1150"
"RM1.1) Currency in circulation -Total ","2001/11/09 00:00:00","239967","2001 -11-09","1150"
"RM1.1) Currency in circulation -Total ","2001/11/16 00:00:00","244132","2001 -11-16","1150"
"RM1.1) Currency in circulation -Total ","2001/11/23 00:00:00","241263","2001 -11-23","1150"
"RM1.1) Currency in circulation -Total ","2001/11/30 00:00:00","238985","2001 -11-30","1150"
"RM1.2) `Other' deposits with RBI ","2001/09/14 00:00:00","3459","2001 -09-14","1152"
"RM1.2) `Other' deposits with RBI ","2001/09/21 00:00:00","3318","2001 -09-21","1152"
"RM1.2) `Other' deposits with RBI ","2001/09/28 00:00:00","3470","2001 -09-28","1152"
"RM1.2) `Other' deposits with RBI ","2001/10/05 00:00:00","3555","2001 -10-05","1152"
"RM1.2) `Other' deposits with RBI ","2001/10/12 00:00:00","3191","2001 -10-12","1152"
"RM1.2) `Other' deposits with RBI ","2001/10/19 00:00:00","3137","2001 -10-19","1152"
"RM1.2) `Other' deposits with RBI ","2001/10/26 00:00:00","3248","2001 -10-26","1152"
"RM1.2) `Other' deposits with RBI ","2001/11/02 00:00:00","3171","2001 -11-02","1152"
"RM1.2) `Other' deposits with RBI ","2001/11/09 00:00:00","2981","2001 -11-09","1152"
"RM1.2) `Other' deposits with RBI ","2001/11/16 00:00:00","2736","2001 -11-16","1152"
"RM1.2) `Other' deposits with RBI ","2001/11/23 00:00:00","3079","2001 -11-23","1152"
"RM1.2) `Other' deposits with RBI ","2001/11/30 00:00:00","2911","2001 -11-30","1152"
"RM1.3) Bankers' deposits with RBI ","2001/09/14 00:00:00","73719","2001 -09-14","1153"
"RM1.3) Bankers' deposits with RBI ","2001/09/28 00:00:00","80956","2001 -09-28","1153"
"RM1.3) Bankers' deposits with RBI ","2001/10/05 00:00:00","70903","2001 -10-05","1153"
"RM1.3) Bankers' deposits with RBI ","2001/10/12 00:00:00","74712","2001 -10-12","1153"
"RM1) Reserve Money (Liabilities/Components) ","2001/09/14 00:00:00","305887","2001 -09-14","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/09/21 00:00:00","302016","2001 -09-21","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/09/28 00:00:00","308988","2001 -09-28","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/10/05 00:00:00","302766","2001 -10-05","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/10/12 00:00:00","308673","2001 -10-12","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/10/19 00:00:00","310409","2001 -10-19","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/10/26 00:00:00","309613","2001 -10-26","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/11/02 00:00:00","317208","2001 -11-02","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/11/09 00:00:00","307301","2001 -11-09","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/11/16 00:00:00","319546","2001 -11-16","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/11/23 00:00:00","308975","2001 -11-23","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/11/30 00:00:00","318588","2001 -11-30","1154"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2001/10/05 00:00:00","17315","2001 -10-05","1158"
"RM2.1.2) RBI's Claims on Banks & Commercial sector","2001/10/26 00:00:00","22505","2001 -10-26","1158"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2001/10/05 00:00:00","9612","2001 -10-05","1159"
"RM2.1.2.1) RBI's Claims on Banks (Including NABARD)","2001/10/26 00:00:00","11941","2001 -10-26","1159"
"RM2.2) Net foreign exchange assets of RBI ","2001/10/05 00:00:00","215779","2001 -10-05","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/10/19 00:00:00","216719","2001 -10-19","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/10/26 00:00:00","216881","2001 -10-26","1163"
"RM2.3) Govt't currency liabilities to the public ","2001/09/14 00:00:00","5721","2001 -09-14","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/09/21 00:00:00","5805","2001 -09-21","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/09/28 00:00:00","5805","2001 -09-28","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/10/05 00:00:00","5805","2001 -10-05","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/10/12 00:00:00","5805","2001 -10-12","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/10/19 00:00:00","5889","2001 -10-19","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/10/26 00:00:00","5889","2001 -10-26","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/11/02 00:00:00","5889","2001 -11-02","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/11/09 00:00:00","5889","2001 -11-09","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/11/16 00:00:00","5889","2001 -11-16","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/11/23 00:00:00","5889","2001 -11-23","1164"
"RM2.3) Govt't currency liabilities to the public ","2001/11/30 00:00:00","5993","2001 -11-30","1164"
"RM2.4) Net non-monetary liabilities of RBI ","2001/09/14 00:00:00","90447","2001 -09-14","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/09/21 00:00:00","91789","2001 -09-21","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/09/28 00:00:00","91309","2001 -09-28","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/10/05 00:00:00","93503","2001 -10-05","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/10/12 00:00:00","92755","2001 -10-12","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/10/19 00:00:00","91668","2001 -10-19","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/10/26 00:00:00","91668","2001 -10-26","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/11/02 00:00:00","93474","2001 -11-02","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/11/09 00:00:00","92522","2001 -11-09","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/11/16 00:00:00","92170","2001 -11-16","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/11/23 00:00:00","91364","2001 -11-23","1165"
"RM2.4) Net non-monetary liabilities of RBI ","2001/11/30 00:00:00","92824","2001 -11-30","1165"
"RM1.1) Currency in circulation -Total ","2001/07/06 00:00:00","234802","2001 -07-06","1150"
"RM1.1) Currency in circulation -Total ","2001/07/13 00:00:00","234428","2001 -07-13","1150"
"RM1.1) Currency in circulation -Total ","2001/07/20 00:00:00","231389","2001 -07-20","1150"
"RM2.2) Net foreign exchange assets of RBI ","2001/07/06 00:00:00","205487","2001 -07-06","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/07/13 00:00:00","205354","2001 -07-13","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/07/20 00:00:00","205404","2001 -07-20","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/07/27 00:00:00","205913","2001 -07-27","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/08/03 00:00:00","206301","2001 -08-03","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/08/10 00:00:00","207918","2001 -08-10","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/08/17 00:00:00","210125","2001 -08-17","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/08/24 00:00:00","211788","2001 -08-24","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/08/31 00:00:00","213826","2001 -08-31","1163"
"RM2.2) Net foreign exchange assets of RBI ","2001/09/07 00:00:00","214160","2001 -09-07","1163"
"RM1.1) Currency in circulation -Total ","2001/07/27 00:00:00","227989","2001 -07-27","1150"
"RM1.1) Currency in circulation -Total ","2001/08/03 00:00:00","229965","2001 -08-03","1150"
"RM1.1) Currency in circulation -Total ","2001/08/10 00:00:00","231704","2001 -08-10","1150"
"RM1.1) Currency in circulation -Total ","2001/08/17 00:00:00","230761","2001 -08-17","1150"
"RM1.1) Currency in circulation -Total ","2001/08/24 00:00:00","228439","2001 -08-24","1150"
"RM1.1) Currency in circulation -Total ","2001/08/31 00:00:00","225969","2001 -08-31","1150"
"RM1.1) Currency in circulation -Total ","2001/09/07 00:00:00","229555","2001 -09-07","1150"
"RM1.2) `Other' deposits with RBI ","2001/07/06 00:00:00","3980","2001 -07-06","1152"
"RM1.2) `Other' deposits with RBI ","2001/07/13 00:00:00","3897","2001 -07-13","1152"
"RM1.2) `Other' deposits with RBI ","2001/07/20 00:00:00","3671","2001 -07-20","1152"
"RM1.2) `Other' deposits with RBI ","2001/07/27 00:00:00","3517","2001 -07-27","1152"
"RM1.2) `Other' deposits with RBI ","2001/08/03 00:00:00","3526","2001 -08-03","1152"
"RM1.2) `Other' deposits with RBI ","2001/08/10 00:00:00","3446","2001 -08-10","1152"
"RM1.2) `Other' deposits with RBI ","2001/08/17 00:00:00","3303","2001 -08-17","1152"
"RM1.2) `Other' deposits with RBI ","2001/08/24 00:00:00","3654","2001 -08-24","1152"
"RM1.2) `Other' deposits with RBI ","2001/08/31 00:00:00","3709","2001 -08-31","1152"
"RM1.2) `Other' deposits with RBI ","2001/09/07 00:00:00","3661","2001 -09-07","1152"
"RM1.3) Bankers' deposits with RBI ","2001/07/06 00:00:00","66536","2001 -07-06","1153"
"RM1.3) Bankers' deposits with RBI ","2001/07/13 00:00:00","70531","2001 -07-13","1153"
"RM1.3) Bankers' deposits with RBI ","2001/07/20 00:00:00","69480","2001 -07-20","1153"
"RM1.3) Bankers' deposits with RBI ","2001/07/27 00:00:00","74768","2001 -07-27","1153"
"RM1.3) Bankers' deposits with RBI ","2001/08/03 00:00:00","67139","2001 -08-03","1153"
"RM1.3) Bankers' deposits with RBI ","2001/08/10 00:00:00","68572","2001 -08-10","1153"
"RM1.3) Bankers' deposits with RBI ","2001/08/17 00:00:00","71120","2001 -08-17","1153"
"RM1.3) Bankers' deposits with RBI ","2001/08/24 00:00:00","75940","2001 -08-24","1153"
"RM1.3) Bankers' deposits with RBI ","2001/08/31 00:00:00","66781","2001 -08-31","1153"
"RM1.3) Bankers' deposits with RBI ","2001/09/07 00:00:00","81591","2001 -09-07","1153"
"RM1) Reserve Money (Liabilities/Components) ","2001/07/06 00:00:00","305318","2001 -07-06","1154"
"RM1) Reserve Money (Liabilities/Components) ","2001/07/13 00:00:00","308856","2001 -07-13","1154"
