"RM Item Desc","Date","Amount (in Rs. Crore)","Prompts_Time1","Sequence"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/02/01 00:00:00","","2002 -02-01","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/02/08 00:00:00","","2002 -02-08","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/02/15 00:00:00","","2002 -02-15","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/02/22 00:00:00","","2002 -02-22","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/03/01 00:00:00","","2002 -03-01","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/03/08 00:00:00","","2002 -03-08","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/03/15 00:00:00","","2002 -03-15","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/03/22 00:00:00","","2002 -03-22","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/03/29 00:00:00","","2002 -03-29","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/04/05 00:00:00","","2002 -04-05","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/04/12 00:00:00","","2002 -04-12","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/04/19 00:00:00","","2002 -04-19","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/04/26 00:00:00","","2002 -04-26","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/05/03 00:00:00","","2002 -05-03","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/05/10 00:00:00","","2002 -05-10","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/05/17 00:00:00","","2002 -05-17","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/05/24 00:00:00","","2002 -05-24","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/05/31 00:00:00","","2002 -05-31","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/06/07 00:00:00","","2002 -06-07","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/06/14 00:00:00","","2002 -06-14","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/06/21 00:00:00","","2002 -06-21","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/06/28 00:00:00","","2002 -06-28","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/07/05 00:00:00","","2002 -07-05","1157"
"RM2.1.1.1) RBI's Claims on - Central Govt","2002/07/12 00:00:00","","2002 -07-12","1157"
